,attack,classes,collectionText,cost,dbfId,durability,dust,entourage,faction,flavor,health,howToEarnGolden,id,mechanics,multiClassGroup,name,overload,playRequirements,playerClass,race,rarity,set,spellDamage,text,type
62,,,,,465.0,,,,,,,,NEW1_018e,,,Treasure Crazed,,,NEUTRAL,,,EXPERT1,,Increased Attack.,ENCHANTMENT
70,,,,,1103.0,,,,,,,,EX1_093e,,,Hand of Argus,,,NEUTRAL,,,EXPERT1,,+1/+1 and <b>Taunt</b>.,ENCHANTMENT
71,,,,,1633.0,,,,,,,,EX1_531e,,,Well Fed,,,HUNTER,,,EXPERT1,,Increased Attack and Health.,ENCHANTMENT
73,,,,,2734.0,,,,,,,,AT_069e,,,Training Complete,,,WARRIOR,,,TGT,,<b>Taunt</b>,ENCHANTMENT
83,,,,,863.0,,,,,,,,EX1_584e,,,Teachings of the Kirin Tor,,,NEUTRAL,,,EXPERT1,,<b>Spell Damage +1</b>.,ENCHANTMENT
85,,,,,603.0,,,,,,,,CS2_087e,,,Blessing of Might,,,PALADIN,,,CORE,,+3 Attack.,ENCHANTMENT
88,,,,,38941.0,,,,,,,,OG_080de,,,Fadeleaf,,,NEUTRAL,,,OG,,Stealthed until your next turn.,ENCHANTMENT
89,,,,,1852.0,,,,,,,,NEW1_027e,,,Yarrr!,,,NEUTRAL,,,EXPERT1,,Southsea Captain is granting +1/+1.,ENCHANTMENT
92,,,,,40519.0,,,,,,,,TB_CoOpv3_104e,,,Unity,,,NEUTRAL,,,TB,,+2/+2,ENCHANTMENT
107,,,,,2223.0,,,,,,,,GVG_055e,,,Screwy Jank,,{'REQ_FRIENDLY_TARGET': 0},WARRIOR,,,GVG,,+2/+2.,ENCHANTMENT
110,,,,,39848.0,,,,,,,,KAR_A02_09e,,,Table Set,,,NEUTRAL,,,KARA,,+1/+1.,ENCHANTMENT
113,,,,,20438.0,,,"['TBST_003', 'TBST_002', 'TBST_001']",,,,,TBST_006,,,OLDTBST Push Common Card,,,NEUTRAL,,,TB,,push a common card into player's hand,ENCHANTMENT
116,,,,,2657.0,,,,,,,,TB_006e,,,Big Banana,,,NEUTRAL,,,TB,,Has +2/+2.,ENCHANTMENT
120,,,,,593.0,,,,,,,,EX1_613e,,,VanCleef's Vengeance,,,ROGUE,,,EXPERT1,,Increased stats.,ENCHANTMENT
129,,,,,40987.0,,,,,,,,CFM_671e,,,We All Scream,,,NEUTRAL,,,GANGS,,+2/+2.,ENCHANTMENT
139,,,,,40846.0,,,,,,,,CFM_336e,,,Smuggling,,,NEUTRAL,,,GANGS,,+2/+2 from Shaky Zipgunner.,ENCHANTMENT
141,,,,,38668.0,,,,,,,,OG_200e,,,Doom Free,,,NEUTRAL,,,OG,,Attack set to 7.,ENCHANTMENT
148,,,,,38636.0,,,,,,,,LOEA09_3a,,,Famished,,,NEUTRAL,,,LOE,,Quite Hungry.,ENCHANTMENT
151,,,,,2693.0,,,,,,,,BRMC_97e,,,Burning Adrenaline,,,NEUTRAL,,,TB,,Costs (2) less.,ENCHANTMENT
159,,,,,639.0,,,,,,,,EX1_334e,,,Shadow Madness,,,PRIEST,,,EXPERT1,,This minion has switched controllers this turn.,ENCHANTMENT
168,,,,,38963.0,,,,,,,,OG_113e,,,Power of the People,,,WARLOCK,,,OG,,Increased Attack.,ENCHANTMENT
171,,,,,35035.0,,,,,,,,LOE_118e,,,Cursed Blade,,,WARRIOR,,,LOE,,Double all damage dealt to your hero.,ENCHANTMENT
172,,,,,1627.0,,,,,,,,CS2_236e,,,Divine Spirit,,,PRIEST,,,CORE,,This minion has double Health.,ENCHANTMENT
177,,,,,40685.0,,,,,,,,CFM_338e,,,Smuggling,,,HUNTER,,,GANGS,,+1/+1 from Trogg Beastrager.,ENCHANTMENT
185,,,,,2565.0,,,,,,,,AT_016e,,,Confused,,,PRIEST,,,TGT,,Swapped Attack and Health.,ENCHANTMENT
202,,,,,38858.0,,,,,,,,OG_281e,,,Fanatic Devotion,,,NEUTRAL,,,OG,,Increased Stats.,ENCHANTMENT
203,,,,,2374.0,,,,,,,,XXX_054e,,,Weapon Buff Enchant,,,NEUTRAL,,,CHEAT,,,ENCHANTMENT
204,,,,,38995.0,,,,,,,,TB_Face_Ench1,,,Safe,,,NEUTRAL,,,TB,,This minion is safe from attacks and cannot have taunt.,ENCHANTMENT
218,,,,,591.0,,,,,,,,CS2_004e,,,Power Word: Shield,,,PRIEST,,,CORE,,+2 Health.,ENCHANTMENT
222,,,,,2238.0,,,,,,,,GVG_104a,,,"HERE, TAKE BUFF.",,,NEUTRAL,,,GVG,,+2/+2.,ENCHANTMENT
223,,,,,2300.0,,,,,,,,BRM_018e,,,Unchained!,,,PALADIN,,,BRM,,Your next Dragon costs (2) less.,ENCHANTMENT
232,,,,,1702.0,,,,,,,,EX1_304e,,,Consume,,,WARLOCK,,,EXPERT1,,Increased stats.,ENCHANTMENT
236,,,,,38390.0,,,,,,,,OG_070e,,,Thirsty Blades,,,ROGUE,,COMMON,OG,,+1/+1.,ENCHANTMENT
237,,,,,2819.0,,,,,,,,AT_133e,,,Victory!,,,NEUTRAL,,,TGT,,+1/+1.,ENCHANTMENT
238,,,,,122.0,,,,,,,,NEW1_017e,,,Full Belly,,,NEUTRAL,,,EXPERT1,,+2/+2.  Full of Murloc.,ENCHANTMENT
253,,,,,1738.0,,,,,,,,EX1_258e,,,Overloading,,,SHAMAN,,,EXPERT1,,Increased stats.,ENCHANTMENT
256,,,,,2200.0,,,,,,,,GVG_043e,,,Glaivezooka,,,HUNTER,,,GVG,,+1 Attack.,ENCHANTMENT
257,,,,,1695.0,,,,,,,,EX1_014te,,,Bananas,,,NEUTRAL,,,EXPERT1,,Has +1/+1.,ENCHANTMENT
269,,,,,2616.0,,,,,,,,AT_049e,,,Power of the Bluff,,,SHAMAN,,,TGT,,Increased Attack.,ENCHANTMENT
274,,,,,1502.0,,,,,,,,TU4c_006e,,,Bananas,,,NEUTRAL,,,MISSIONS,,This minion has +1/+1. <i>(+1 Attack/+1 Health)</i>,ENCHANTMENT
275,,,,,38956.0,,,,,,,,OG_320e,,,Hour of Corruption,,,NEUTRAL,,,OG,,Increased Attack.,ENCHANTMENT
286,,,,,130.0,,,,,,,,CS2_022e,['MORPH'],,Polymorph,,,MAGE,,COMMON,CORE,,This minion has been transformed into a 1/1 Sheep.,ENCHANTMENT
288,,,,,39042.0,,,,,,,,TB_PickYourFate_8_EnchRand,,,Fate 8 Rand 2 armor each turn,,,NEUTRAL,,,TB,,,ENCHANTMENT
301,,,,,38405.0,,,,,,,,NEW1_014e,,,Disguised,,,ROGUE,,,EXPERT1,,Stealthed until your next turn.,ENCHANTMENT
306,,,,,40524.0,,,,,,,,TB_CoOpv3_101e,,,Team Player Enchantment,,,NEUTRAL,,,TB,,<b>Immune</b> ahile attacking,ENCHANTMENT
314,,,,,2204.0,,,,,,,,GVG_049e,,,Might of Zul'Farrak,,,HUNTER,,,GVG,,Multiplying Attack.,ENCHANTMENT
317,,,,,809.0,,,,,,,,CS2_188o,['TAG_ONE_TURN_EFFECT'],,'Inspired',,,NEUTRAL,,,EXPERT1,,This minion has +2 Attack this turn.,ENCHANTMENT
323,,,,,39024.0,,,"['TB_PickYourFate_1', 'TB_PickYourFate_4', 'TB_PickYourFate_7_2nd', 'TB_PickYourFate_3', 'TB_PickYourFate_6_2nd', 'TB_PickYourFate_11rand']",,,,,TB_PickYourFate_2nd,,,Pick Your Fate Randon 2nd,,,NEUTRAL,,,TB,,,ENCHANTMENT
324,,,,,2643.0,,,"['BRMA14_10', 'BRMA14_10H', 'BRMA09_4', 'BRMA09_4H', 'BRMA17_5', 'BRMA17_5H', 'NAX15_04', 'NAX15_04H', 'NAX12_02', 'NAX12_02H', 'BRM_027p', 'BRM_027pH', 'BRMA09_5', 'BRMA09_5H', 'BRMA16_2', 'BRMA16_2H', 'NAX5_02', 'NAX5_02H', 'BRMA11_2', 'BRMA11_2H', 'BRMA17_8', 'BRMA17_8H', 'NAX15_02', 'NAX15_02H', 'NAX14_02', 'NAX8_02', 'NAX8_02H', 'NAX10_03', 'NAX10_03H', 'BRMA05_2', 'BRMA05_2H', 'BRMA02_2', 'BRMA02_2H', 'BRMA04_2', 'BRMA07_2', 'BRMA07_2H', 'NAX6_02', 'NAX6_02H', 'BRMA09_2', 'BRMA09_2H', 'BRMA01_2', 'BRMA01_2H', 'NAX11_02', 'NAX11_02H', 'NAX13_02', 'NAX2_03', 'NAX2_03H', 'NAX1_04', 'NAX1h_04', 'BRMA06_2', 'BRMA06_2H', 'BRMA10_3', 'BRMA10_3H', 'NAX7_03', 'NAX7_03H', 'NAX9_06', 'NAX3_02', 'NAX3_02H', 'BRMA13_4', 'BRMA13_4H']",,,,,TB_001,,,Boss HP Swapper,,,NEUTRAL,,,TB,,,ENCHANTMENT
327,,,,,40003.0,,,,,,,,TB_GP_01e_copy1,['CANT_ATTACK'],,Shadow Tower Give My minions Stealth,,,NEUTRAL,,,TB,,"Can't Attack.
<b>Stealth</b>.",ENCHANTMENT
328,,,,,42060.0,,,,,,,,CFM_621e3,,,Goldthorn,,,NEUTRAL,,,GANGS,,+6 Health.,ENCHANTMENT
331,,,,,38907.0,,,,,,,,OG_290e,,,Caller Devotion,,,NEUTRAL,,,OG,,+1/+1.,ENCHANTMENT
343,,,,,1649.0,,,,,,,,XXX_022e,,,Free Cards,,,NEUTRAL,,,CHEAT,,Your cards cost (0) for the rest of the game.,ENCHANTMENT
344,,,,,38796.0,,,,,,,,OG_256e,,,Slimed,,,NEUTRAL,,,OG,,+1/+1.,ENCHANTMENT
350,,,,,320.0,,,,,,,,EX1_607e,,,Inner Rage,,,WARRIOR,,,EXPERT1,,+2 Attack.,ENCHANTMENT
376,,,,,40390.0,,,,,,,,CFM_610e,,,Serrated Shadows,,,NEUTRAL,,,GANGS,,+1/+1.,ENCHANTMENT
398,,,,,2750.0,,,,,,,,AT_121e,,,Huge Ego,,,NEUTRAL,,,TGT,,Increased stats.,ENCHANTMENT
407,,,,,40246.0,,,,,,,,OG_150e,['ENRAGED'],,Enraged,,,NEUTRAL,,,OG,,+2 Attack.,ENCHANTMENT
409,,,,,2597.0,,,,,,,,AT_116e,,,Bring it on!,,,PRIEST,,,TGT,,+1 Attack and <b>Taunt</b>.,ENCHANTMENT
410,,,,,1732.0,,,,,,,,GAME_001,,,Luck of the Coin,,,NEUTRAL,,,CORE,,Going second grants you increased Health.,ENCHANTMENT
417,,,,,38815.0,,,,,,,,LOEA16_20H,,,Blessing of the Sun,,,NEUTRAL,,,LOE,,<b>Immune</b>.,ENCHANTMENT
418,,,,,38849.0,,,,,,,,LOEA09_7e,,,Cauldron,,,NEUTRAL,,,LOE,,,ENCHANTMENT
419,,,,,38962.0,,,,,,,,TB_Mini_1e,,,Miniature,,,NEUTRAL,,,TB,,"Mini-sized, set to 1/1",ENCHANTMENT
429,,,,,2214.0,,,,,,,,GVG_086e,,,Armor Plated,,,WARRIOR,,,GVG,,Increased Attack.,ENCHANTMENT
442,,,,,1713.0,,,,,,,,CS2_103e2,,,Charge,,,WARRIOR,,,CORE,,Has <b>Charge</b>.,ENCHANTMENT
451,,,,,2769.0,,,,,,,,AT_032e,,,Shady Deals,,,ROGUE,,,TGT,,+1/+1.,ENCHANTMENT
472,,,,,40561.0,,,,,,,,KARA_13_11e,,,Enfeeble,,,NEUTRAL,,,KARA,,Health changed to 1.,ENCHANTMENT
473,,,,,650.0,,,,,,,,CS1_129e,,,Inner Fire,,,PRIEST,,,EXPERT1,,This minion's Attack is equal to its Health.,ENCHANTMENT
475,,,,,1717.0,,,,,,,,NEW1_029t,,,Kill Millhouse!,,,NEUTRAL,,LEGENDARY,EXPERT1,,Spells cost (0) this turn!,ENCHANTMENT
491,,,,,1911.0,,,,,,,,FP1_028e,,,Darkness Calls,,,NEUTRAL,,,NAXX,,Increased stats.,ENCHANTMENT
497,,,,,1153.0,,,,,,,,NEW1_024o,,,Greenskin's Command,,,NEUTRAL,,,EXPERT1,,+1/+1.,ENCHANTMENT
508,,,,,2276.0,,,,,,,,BRM_001e,['TAG_ONE_TURN_EFFECT'],,Melt,,,PRIEST,,,BRM,,Attack changed to 0 this turn.,ENCHANTMENT
519,,,,,41528.0,,,,,,,,CFM_631e,,,Smuggling,,,NEUTRAL,,,GANGS,,Increased stats from Brass Knuckles.,ENCHANTMENT
524,,,,,1719.0,,,,,,,,EX1_509e,,,Blarghghl,,,NEUTRAL,,,EXPERT1,,Increased Attack.,ENCHANTMENT
528,,,,,1700.0,,,,,,,,EX1_046e,['TAG_ONE_TURN_EFFECT'],,Tempered,,,NEUTRAL,,,EXPERT1,,+2 Attack this turn.,ENCHANTMENT
539,,,,,1779.0,,,,,,,,EX1_274e,,,Raw Power!,,,MAGE,,,EXPERT1,,Increased stats.,ENCHANTMENT
541,,,,,1542.0,,,,,,,,TU4c_008e,['TAG_ONE_TURN_EFFECT'],,Might of Mukla,,,NEUTRAL,,,MISSIONS,,King Mukla has +8 Attack this turn.,ENCHANTMENT
542,,,,,17264.0,,,,,,,,TB_EndlessMinions01,,,Endless Enchantment,,,NEUTRAL,,,TB,,+2/+2.,ENCHANTMENT
549,,,,,42705.0,,,,,,,,CFM_325e,,,Equipped,,,NEUTRAL,,,GANGS,,+2 Attack.,ENCHANTMENT
556,,,,,2241.0,,,,,,,,GVG_106e,,,Junked Up,,,NEUTRAL,,,GVG,,Increased stats.,ENCHANTMENT
557,,,,,2239.0,,,,,,,,GVG_060e,,,Well Equipped,,,PALADIN,,,GVG,,+2/+2.,ENCHANTMENT
560,,,,,2487.0,,,,,,,,AT_082e,,,Training,,,NEUTRAL,,,TGT,,Increased Attack.,ENCHANTMENT
575,,,,,143.0,,,,,,,,NEW1_033o,,,Eye In The Sky,,,HUNTER,,,CORE,,Leokk is granting this minion +1 Attack.,ENCHANTMENT
576,,,,,39100.0,,,,,,,,OG_267e,,,Squid Oil Sheen,,,ROGUE,,,OG,,+2 Attack,ENCHANTMENT
579,,,,,38912.0,,,,,,,,OG_311e,,,Beacon of Hope,,,NEUTRAL,,,OG,,+1/+1.,ENCHANTMENT
589,,,,,1711.0,,,,,,,,NEW1_036e2,['TAG_ONE_TURN_EFFECT'],,Commanding Shout,,,WARRIOR,,,EXPERT1,,Your minions can't be reduced below 1 Health this turn.,ENCHANTMENT
595,,,,,2751.0,,,,,,,,AT_117e,,,Ceremony,,,NEUTRAL,,,TGT,,+2/+2.,ENCHANTMENT
599,,,,,38702.0,,,,,,,,TB_PickYourFate_8_Ench,,,Fate 8 Get Armor,,,NEUTRAL,,,TB,,,ENCHANTMENT
603,,,,,331.0,,,,,,,,EX1_573ae,,,Demigod's Favor,,,DRUID,,,EXPERT1,,+2/+2.,ENCHANTMENT
609,,,,,39039.0,,,,,,,,TB_PickYourFate_7_EnchMiniom2nd,,,Fate,,,NEUTRAL,,,TB,,<b>Deathrattle:</b> random card in owner's hand costs (0).,ENCHANTMENT
613,,,,,2412.0,,,,,,,,XXX_058e,,,Weapon Nerf Enchant,,,NEUTRAL,,,CHEAT,,Red Sparkles!,ENCHANTMENT
627,,,,,38748.0,,,,,,,,OG_223e,,,Optimism,,,NEUTRAL,,,OG,,+1/+2.,ENCHANTMENT
628,,,,,2198.0,,,,,,,,GVG_030be,,,Tank Mode,,,DRUID,,,GVG,,+1 Health.,ENCHANTMENT
633,,,,,2407.0,,,,,,,,BRM_028e,,,Imperial Favor,,,NEUTRAL,,,BRM,,Costs (1) less.,ENCHANTMENT
636,,,,,977.0,,,,,,,,NEW1_037e,,,Equipped,,,NEUTRAL,,,EXPERT1,,Increased Attack.,ENCHANTMENT
639,,,,,39031.0,,,,,,,,TB_PickYourFate_7_EnchMinion,,,Fate,,,NEUTRAL,,,TB,,<b>Deathrattle:</b> Your owner gets a coin.,ENCHANTMENT
646,,,,,1894.0,,,,,,,,NAX12_02e,,,Decimate,,,NEUTRAL,,,NAXX,,Health changed to 1.,ENCHANTMENT
651,,,,,1630.0,,,,,,,,EX1_043e,,,Hour of Twilight,,,NEUTRAL,,,EXPERT1,,Increased Health.,ENCHANTMENT
667,,,,,38586.0,,,,,,,,TB_GiftExchange_Enchantment,,,Cheap Gift,,,NEUTRAL,,,TB,,This card's cost is reduced.,ENCHANTMENT
670,,,,,276.0,,,,,,,,EX1_155be,,,Mark of Nature,,,DRUID,,,EXPERT1,,This minion has +4 Health and <b>Taunt</b>.,ENCHANTMENT
675,,,,,2194.0,,,,,,,,GVG_100e,,,Brow Furrow,,,WARLOCK,,,GVG,,Increased stats.,ENCHANTMENT
676,,,,,2158.0,,,,,,,,PART_001e,,,Armor Plating,,,NEUTRAL,,,GVG,,+1 Health.,ENCHANTMENT
699,,,,,42207.0,,,,,,,,TB_BoomAnnoy_001e,,,Loves Annoy-o-tron,,,NEUTRAL,,,TB,,+2/+2.,ENCHANTMENT
718,,,,,39032.0,,,,,,,,TB_PickYourFate_2_EnchMinion,['DEATHRATTLE'],,Fate,,,NEUTRAL,,,TB,,<b>Deathrattle:</b> Your owner gets a banana.,ENCHANTMENT
727,,,,,38742.0,,,,,,,,LOEA09_3aH,,,Famished,,,NEUTRAL,,,LOE,,Quite Hungry.,ENCHANTMENT
731,,,,,1812.0,,,,,,,,FP1_020e,,,Vengeance,,,PALADIN,,,NAXX,,+3/+2.,ENCHANTMENT
733,,,,,42155.0,,,,,,,,CFM_603e,,,Madness Potion,,,PRIEST,,,GANGS,,This minion has switched controllers this turn.,ENCHANTMENT
745,,,,,925.0,,,,,,,,CS2_084e,,,Hunter's Mark,,,HUNTER,,,CORE,,This minion has 1 Health.,ENCHANTMENT
748,,,,,1731.0,,,,,,,,EX1_411e2,,,Needs Sharpening,,,WARRIOR,,,EXPERT1,,Decreased Attack.,ENCHANTMENT
749,,,,,78.0,,,,,,,,CS2_105e,['TAG_ONE_TURN_EFFECT'],,Heroic Strike,,,WARRIOR,,,CORE,,+4 Attack this turn.,ENCHANTMENT
759,,,,,40129.0,,,,,,,,KAR_037t,,,Secrets of Karazhan,,,NEUTRAL,,,KARA,,+1/+1 and <b>Taunt</b>.,ENCHANTMENT
760,,,,,39741.0,,,,,,,,KARA_08_04e,['TAG_ONE_TURN_EFFECT'],,Empowered,,,NEUTRAL,,,EXPERT1,,+8 Attack this turn.,ENCHANTMENT
768,,,,,2178.0,,,,,,,,GVG_041c,,,Dark Wispers,,,DRUID,,,GVG,,+5/+5 and <b>Taunt</b>.,ENCHANTMENT
774,,,,,40730.0,,,,,,,,TB_CoOpv3_BOSS4e,['TAG_ONE_TURN_EFFECT'],,Cowed,,,NEUTRAL,,,TB,,Can't attack this turn.,ENCHANTMENT
782,,,,,40002.0,,,,,,,,TB_GP_01e_v2,,,Shadow Tower Stealth,,,NEUTRAL,,,TB,,<b>Stealth</b>.,ENCHANTMENT
783,,,,1.0,19955.0,,,,,,,,HRW02_1e,,,Overclock,,,NEUTRAL,,,TB,,Increased Attack.,ENCHANTMENT
790,,,,,39135.0,,,,,,,,OG_339e,,,Vassal's Subservience,,,NEUTRAL,,,OG,,+2/+2.,ENCHANTMENT
815,,,,,40286.0,,,,,,,,CFM_063e,,,Kooky Chemistry,,,NEUTRAL,,,GANGS,,Attack and Health have been swapped by Kooky Chemist.,ENCHANTMENT
829,,,,,17148.0,,,,,,,,LOEA06_03e,,,Animated,,,NEUTRAL,,,LOE,,+1/+1 and <b>Taunt</b>.,ENCHANTMENT
835,,,,,2722.0,,,,,,,,TB_010e,,,Choose One of Three,,,NEUTRAL,,,TB,,,ENCHANTMENT
842,,,,,39758.0,,,,,,,,KARA_00_05e,['TAG_ONE_TURN_EFFECT'],,Insightful,,,NEUTRAL,,,KARA,,Your spells cost (0).,ENCHANTMENT
846,,,,,37603.0,,,,,,,,TB_RandCardCost,,,TBRandomCardCost,,,NEUTRAL,,,TB,,,ENCHANTMENT
847,,,,,40572.0,,,,,,,,CFM_755e,,,Smuggling,,,NEUTRAL,,,GANGS,,+1/+1 from Grimestreet Pawnbroker.,ENCHANTMENT
849,,,,,2185.0,,,,,,,,GVG_022a,,,Tinker's Sharpsword Oil,,,NEUTRAL,,,GVG,,+3 Attack.,ENCHANTMENT
852,,,,,38939.0,,,,,,,,OG_080ee,,,Briarthorn,,,NEUTRAL,,,OG,,+3 Attack.,ENCHANTMENT
860,,,,,38695.0,,,,,,,,TB_PickYourFate_5_Ench,,,Pick Your Fate 5 Ench,,,NEUTRAL,,,TB,,,ENCHANTMENT
868,,,,,38851.0,,,"['TB_PickYourFate_12', 'TB_PickYourFate_2', 'TB_PickYourFate_8rand', 'TB_PickYourFate_6', 'TB_PickYourFate_5', 'TB_PickYourFate_7']",,,,,TB_PickYourFateRandom,,,Pick Your Fate Random,,,NEUTRAL,,,TB,,,ENCHANTMENT
870,,,,,2376.0,,,,,,,,XXX_055e,,,1000 Stats Enchant,,,NEUTRAL,,,CHEAT,,,ENCHANTMENT
871,,,,,2846.0,,,,,,,,AT_011e,['AURA'],,Light's Blessing,,,NEUTRAL,,,TGT,,Increased Attack.,ENCHANTMENT
872,,,,,1747.0,,,,,,,,GAME_005e,,,The Coin,,,NEUTRAL,,,CORE,,,ENCHANTMENT
876,,,,,2848.0,,,,,,,,AT_013e,,,Power Word: Glory,,,NEUTRAL,,,TGT,,"When this attacks, restore 4 Health to the hero of the player who buffed it.",ENCHANTMENT
881,,,,,2578.0,,,,,,,,AT_084e,,,Equipped,,,NEUTRAL,,,TGT,,+2 Attack.,ENCHANTMENT
886,,,,,38568.0,,,,,,,,OG_174e,,,Faceless,,,NEUTRAL,,,OG,,Copying stats.,ENCHANTMENT
891,,,,,2747.0,,,,,,,,AT_132_DRUIDe,['TAG_ONE_TURN_EFFECT'],,Dire Claws,,,DRUID,,,TGT,,+2 Attack this turn.,ENCHANTMENT
893,,,,,39835.0,,,,,,,,EX1_414e,,,Enraged,,,WARRIOR,,,EXPERT1,,+6 Attack,ENCHANTMENT
895,,,,,38688.0,,,,,,,,LOEA16_20e,['TAG_ONE_TURN_EFFECT'],,Blessed,,,NEUTRAL,,,LOE,,<b>Immune</b> this turn.,ENCHANTMENT
897,,,,,2604.0,,,,,,,,BRMA10_3e,,,Incubation,,,NEUTRAL,,,BRM,,Increased Health.,ENCHANTMENT
905,,,,,2160.0,,,,,,,,PART_007e,,,Whirling Blades,,,NEUTRAL,,,GVG,,+1 Attack.,ENCHANTMENT
912,,,,,521.0,,,,,,,,NEW1_036e,['TAG_ONE_TURN_EFFECT'],,Commanding Shout,,,WARRIOR,,,EXPERT1,,Can't be reduced below 1 Health this turn.,ENCHANTMENT
913,,,,,620.0,,,,,,,,NEW1_012o,,,Mana Gorged,,,MAGE,,,EXPERT1,,Increased attack.,ENCHANTMENT
918,,,,,39706.0,,,,,,,,KARA_08_08e2,,,Red Beam,,,NEUTRAL,,,KARA,,Has <b>Windfury</b>.,ENCHANTMENT
921,,,,,2206.0,,,,,,,,GVG_019e,,,Demonheart,,,WARLOCK,,,GVG,,+5/+5.,ENCHANTMENT
932,,,,,2169.0,,,,,,,,GVG_014a,,,Shadowed,,,PRIEST,,,GVG,,Health was swapped.,ENCHANTMENT
951,,,,,2685.0,,,"['FP1_020', 'EX1_287', 'FP1_018', 'EX1_610', 'EX1_132', 'EX1_611', 'EX1_289', 'EX1_295', 'EX1_294', 'EX1_533', 'EX1_130', 'EX1_136', 'EX1_379', 'EX1_554', 'EX1_609', 'tt_010', 'EX1_594']",,,,,TB_009,,,Create 15 Secrets,,,NEUTRAL,,,TB,,,ENCHANTMENT
953,,,,,38831.0,,,,,,,,OG_271e,,,Terrifying Visage,,,NEUTRAL,,,OG,,Attack increased.,ENCHANTMENT
954,,,,,28703.0,,,,,,,,TB_RMC_001,,,TB_EnchRandomManaCost,,,NEUTRAL,,,TB,,,ENCHANTMENT
964,,,,,2220.0,,,,,,,,GVG_027e,,,Ironed Out,,,ROGUE,,,GVG,,Increased stats.,ENCHANTMENT
973,,,,,25413.0,,,,,,,,LOEA16_8a,,,Putressed,,,NEUTRAL,,,LOE,,Attack and Health swapped.,ENCHANTMENT
976,,,,,953.0,,,,,,,,EX1_316e,,,Power Overwhelming,,,WARLOCK,,,EXPERT1,,"This minion has +4/+4, but will die a horrible death at the end of the turn.",ENCHANTMENT
990,,,,,42366.0,,,,,,,,TB_SPT_DPromoSecret9e,,,Knowledge,,,NEUTRAL,,,TB,,Costs (1).,ENCHANTMENT
993,,,,,634.0,,,,,,,,EX1_080o,,,Keeping Secrets,,,NEUTRAL,,,EXPERT1,,Increased stats.,ENCHANTMENT
995,,,,,38339.0,,,,,,,,OG_051e,,,Forbidden Power,,,DRUID,,,OG,,Increased stats.,ENCHANTMENT
1009,,,,,2825.0,,,,,,,,AT_115e,,,Fencing Practice,,,NEUTRAL,,,TGT,,Your Hero Power costs (2) less.,ENCHANTMENT
1011,,,,,39337.0,,,,,,,,OG_188e,,,Amber Carapace,,,NEUTRAL,,,OG,,+5 Health.,ENCHANTMENT
1017,,,,,697.0,,,,,,,,EX1_612o,['TAG_ONE_TURN_EFFECT'],,Power of the Kirin Tor,,,MAGE,,,EXPERT1,,Your next Secret costs (0).,ENCHANTMENT
1021,,,,,322.0,,,,,,,,EX1_155ae,,,Mark of Nature,,,DRUID,,,EXPERT1,,This minion has +4 Attack.,ENCHANTMENT
