Name,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Card 30,Deck
989149-dino-dueler,charged devilsaur,charged devilsaur,circle of healing,circle of healing,dragonfire potion,dragonfire potion,embrace the shadow,embrace the shadow,eternal servitude,eternal servitude,holy fire,holy fire,mass dispel,mass dispel,mind blast,mind blast,pint size potion,pint size potion,power word shield,power word shield,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word horror,shadow word horror,shadow word pain,shadow word pain,shadowreaper anduin,2
988682-raza-priest-minion-based,bonemare,book wyrm,cobalt scalebane,curious glimmerroot,dragonfire potion,drakonid operative,duskbreaker,fire fly,greater healing potion,hemet jungle hunter,kabal talonpriest,kazakus,lyra the sunshard,netherspite historian,northshire cleric,potion of madness,power word shield,priest of the feast,prince keleseth,radiant elemental,raza the chained,saronite chain gang,shadow ascendant,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,stonehill defender,twilight acolyte,twilight drake,0
984078-havey-control-dragon,book wyrm,book wyrm,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,kabal talonpriest,kabal talonpriest,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,primordial drake,primordial drake,psychic scream,shadow word death,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,unidentified elixir,unidentified elixir,ysera,1
984065-spell-tempo-dragon-priest,book wyrm,cabal shadow priest,dragon soul,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,kabal talonpriest,kabal talonpriest,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,psionic probe,psionic probe,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,1
987668-twilights-call-otk,auchenai soulpriest,auchenai soulpriest,circle of healing,circle of healing,coldlight oracle,corrupted healbot,corrupted healbot,dragonfire potion,lyra the sunshard,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,psychic scream,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,spirit lash,spirit lash,twilights call,twilights call,wild pyromancer,wild pyromancer,3
987314-miracle-dragon,book wyrm,cobalt scalebane,divine spirit,dragon soul,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,inner fire,kabal talonpriest,kabal talonpriest,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,priest of the feast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word pain,shadow word pain,twilight acolyte,1
982545-miracle-priest,bloodmage thalnos,circle of healing,corrosive sludge,dragon soul,dragonfire potion,dragonfire potion,gadgetzan auctioneer,gadgetzan auctioneer,gilded gargoyle,gilded gargoyle,holy smite,holy smite,lesser diamond spellstone,lyra the sunshard,mind blast,potion of madness,power word shield,power word shield,prophet velen,psionic probe,psionic probe,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word pain,silence,violet teacher,violet teacher,1
986950-one-shot-meme-priest,barnes,binding heal,binding heal,dragonfire potion,dragonfire potion,eternal servitude,eternal servitude,holy smite,holy smite,malygos,mass dispel,mass dispel,mind blast,mind blast,pint size potion,potion of madness,potion of madness,power word shield,power word shield,prophet velen,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word horror,shadow word pain,shadow word pain,silence,2
986845-k-c-lyra-i-cast-alone,circle of healing,circle of healing,dragon soul,dragonfire potion,dragonfire potion,embrace the shadow,embrace the shadow,eternal servitude,eternal servitude,lesser diamond spellstone,lesser diamond spellstone,lyra the sunshard,mass dispel,mass dispel,pint size potion,pint size potion,psionic probe,psionic probe,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word horror,shadow word horror,shadow word pain,shadow word pain,shadowreaper anduin,silence,2
986659-k-c-keleseth-dragon-priest,acolyte of pain,cabal shadow priest,cobalt scalebane,curious glimmerroot,curious glimmerroot,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,kabal talonpriest,kabal talonpriest,lone champion,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,prince keleseth,shadow word death,shadowreaper anduin,the darkness,twilight acolyte,twilight acolyte,twilight drake,twilight drake,unidentified elixir,ysera,zola the gorgon,-1
986523-breakingnews-kac-dragon-inner-priest,cobalt scalebane,cobalt scalebane,divine spirit,divine spirit,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,inner fire,kabal talonpriest,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,tar creeper,tar creeper,twilight acolyte,twilight acolyte,twilight drake,twilight drake,ysera,1
980419-dragon-control,dragon soul,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,psychic scream,psychic scream,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,shadowreaper anduin,silence,twilight acolyte,twilight acolyte,twilight drake,twilight drake,ysera,1
980263-miracle,acolyte of pain,arcane giant,arcane giant,auchenai soulpriest,auchenai soulpriest,circle of healing,circle of healing,dragon soul,gadgetzan auctioneer,gilded gargoyle,gilded gargoyle,lyra the sunshard,northshire cleric,northshire cleric,power word shield,power word shield,psionic probe,psionic probe,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word pain,tar creeper,tar creeper,unidentified elixir,unidentified elixir,wild pyromancer,wild pyromancer,1
979780-dragon-priest,cobalt scalebane,cobalt scalebane,deathwing dragonlord,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,gluttonous ooze,greater healing potion,harrison jones,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,priest of the feast,primordial drake,primordial drake,psychic scream,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,ysera,1
985460-dragon-priest-v2,book wyrm,cabal shadow priest,dragon soul,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,harrison jones,mana geode,mana geode,mind control tech,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,primordial drake,primordial drake,shadow visions,shadow visions,shadow word death,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,ysera,1
985349-kac-dragon-priest,cobalt scalebane,cobalt scalebane,divine spirit,divine spirit,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,inner fire,inner fire,kabal talonpriest,kabal talonpriest,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
984835-dragon-priest,book wyrm,book wyrm,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,primordial drake,primordial drake,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,ysera,zola the gorgon,1
984797-dragonpriest-k-c,book wyrm,book wyrm,cabal shadow priest,cobalt scalebane,cobalt scalebane,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,kabal talonpriest,kabal talonpriest,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
984706-k-c-dragon-soul-silence-priest,acolyte of pain,acolyte of pain,ancient watcher,ancient watcher,circle of healing,divine spirit,divine spirit,dragon soul,faceless shambler,faceless shambler,humongous razorleaf,humongous razorleaf,inner fire,inner fire,kabal talonpriest,kabal talonpriest,northshire cleric,northshire cleric,power word shield,power word shield,purify,purify,radiant elemental,radiant elemental,shadow visions,shadow visions,silence,silence,tar creeper,wild pyromancer,4
984673-new-dragon-priest,bone drake,bone drake,book wyrm,book wyrm,crystalline oracle,crystalline oracle,devour mind,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,kabal talonpriest,kabal talonpriest,netherspite historian,netherspite historian,potion of madness,potion of madness,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,shifting shade,shifting shade,twilight acolyte,twilight acolyte,zola the gorgon,1
984648-temporus-otk-dragon-priest,acidic swamp ooze,alexstrasza,arcane giant,arcane giant,bone drake,book wyrm,book wyrm,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,golakka crawler,holy nova,holy nova,netherspite historian,netherspite historian,northshire cleric,obsidian statue,potion of madness,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,silence,spirit lash,temporus,-1
979290-buff-priest,coldlight oracle,divine spirit,divine spirit,dragonfire potion,inner fire,inner fire,kabal talonpriest,kabal talonpriest,lyra the sunshard,northshire cleric,northshire cleric,pint size potion,pint size potion,potion of madness,potion of madness,power word shield,power word shield,priest of the feast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word pain,shadow word pain,silence,stormwind knight,stormwind knight,tar creeper,tar creeper,1
984402-dargon-awaken-the-makers,awaken the makers,bloodmage thalnos,bone drake,bone drake,carnivorous cube,deathwing dragonlord,dragonfire potion,dragonfire potion,drakonid operative,duskbreaker,duskbreaker,eternal servitude,gluttonous ooze,kabal talonpriest,lesser diamond spellstone,netherspite historian,netherspite historian,northshire cleric,nzoth the corruptor,obsidian statue,obsidian statue,power word shield,power word shield,shadow visions,shadow word death,shadow word death,shadow word pain,twilights call,twilights call,unidentified elixir,-1
992022-quest-priest,archbishop benedictus,awaken the makers,barnes,bloodmage thalnos,cairne bloodhoof,carnivorous cube,carnivorous cube,crystalline oracle,crystalline oracle,doomsayer,dragonfire potion,dragonfire potion,gilded gargoyle,gilded gargoyle,loot hoarder,loot hoarder,lyra the sunshard,master oakheart,nzoth the corruptor,potion of madness,psychic scream,raza the chained,shadow word death,shadow word pain,shadowreaper anduin,tortollan shellraiser,twilight summoner,twilight summoner,twilights call,twilights call,-1
992020-aggro,bonemare,bonemare,fallen sun cleric,fallen sun cleric,fungal enchanter,fungal enchanter,holy smite,holy smite,kabal talonpriest,kabal talonpriest,loot hoarder,loot hoarder,mind blast,mind blast,northshire cleric,northshire cleric,power word shield,power word shield,prince valanar,radiant elemental,radiant elemental,shadow ascendant,shadow ascendant,shadow word death,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,unidentified elixir,unidentified elixir,-1
992019-obvious-aggrazakus-kelagon,acolyte of pain,alexstrasza,bone drake,bonemare,book wyrm,cabal shadow priest,cobalt scalebane,crystalline oracle,curious glimmerroot,dragonfire potion,drakonid operative,duskbreaker,fire fly,hoarding dragon,kabal talonpriest,kazakus,mistress of mixtures,northshire cleric,potion of madness,power word shield,primordial drake,prince keleseth,psychic scream,raza the chained,saronite chain gang,shadow word death,shadowreaper anduin,tar creeper,twilight acolyte,twilight drake,0
992010-holy-temporus-miracle-otk,divine spirit,divine spirit,dragon soul,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,gilded gargoyle,gilded gargoyle,inner fire,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,silence,temporus,twilight drake,twilight drake,1
992009-queen-of-the-catacombs,alexstrasza,bone drake,bonemare,book wyrm,cobalt scalebane,crystalline oracle,curious glimmerroot,dragonfire potion,drakonid operative,duskbreaker,gluttonous ooze,harrison jones,kabal songstealer,kabal talonpriest,kazakus,mistress of mixtures,northshire cleric,potion of madness,power word shield,primordial drake,prince keleseth,psychic scream,raza the chained,shadow madness,shadow word death,shadowreaper anduin,tar creeper,twilight acolyte,twilight drake,zola the gorgon,0
984221-knc,auchenai soulpriest,awaken the makers,bloodmage thalnos,cairne bloodhoof,circle of healing,crystalline oracle,curious glimmerroot,dragon soul,dragonfire potion,kazakus,lesser diamond spellstone,lyra the sunshard,northshire cleric,nzoth the corruptor,obsidian statue,potion of madness,power word shield,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,shifting shade,spirit lash,the lich king,tortollan shellraiser,twilights call,unidentified elixir,zola the gorgon,0
984201-so-much-spells,divine spirit,divine spirit,dragon soul,dragonfire potion,dragonfire potion,gilded gargoyle,gilded gargoyle,inner fire,inner fire,lesser diamond spellstone,lesser diamond spellstone,lyra the sunshard,northshire cleric,northshire cleric,power word shield,power word shield,priest of the feast,priest of the feast,prophet velen,psionic probe,psionic probe,psychic scream,psychic scream,radiant elemental,radiant elemental,shadow essence,shadow essence,shadow word death,shadow word death,shadow word pain,-1
991975-dragons-are-back,book wyrm,deathwing,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,greater healing potion,netherspite historian,netherspite historian,northshire cleric,northshire cleric,obsidian statue,obsidian statue,power word shield,power word shield,primordial drake,primordial drake,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,unidentified elixir,unidentified elixir,ysera,1
991959-dragon-quest,awaken the makers,bone drake,bone drake,dragonfire potion,dragonfire potion,eternal servitude,eternal servitude,guild recruiter,guild recruiter,hoarding dragon,hoarding dragon,injured blademaster,kabal songstealer,kabal songstealer,lesser diamond spellstone,loot hoarder,loot hoarder,obsidian statue,purify,purify,shadow visions,shadow visions,the lich king,tortollan shellraiser,tortollan shellraiser,twilight acolyte,twilight acolyte,twilights call,twilights call,ysera,-1
991945-highlander-priest,acolyte of pain,auchenai soulpriest,big game hunter,binding heal,bloodmage thalnos,circle of healing,curious glimmerroot,gadgetzan auctioneer,golakka crawler,holy fire,holy smite,kazakus,loot hoarder,lyra the sunshard,mind blast,northshire cleric,novice engineer,potion of madness,power word shield,priest of the feast,prophet velen,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,silence,spirit lash,wild pyromancer,0
991931-kac-raza-priest,acolyte of pain,bloodmage thalnos,cabal shadow priest,cobalt scalebane,curious glimmerroot,dragonfire potion,drakonid operative,duskbreaker,elise the trailblazer,kazakus,netherspite historian,northshire cleric,potion of madness,power word shield,priest of the feast,primordial drake,prophet velen,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word pain,shadowreaper anduin,silence,spirit lash,the darkness,twilight acolyte,twilight drake,ysera,0
991888-archevist-dragon-priest,curious glimmerroot,curious glimmerroot,dirty rat,dirty rat,drakonid operative,drakonid operative,duskbreaker,duskbreaker,embrace darkness,free from amber,free from amber,golakka crawler,golakka crawler,grand archivist,grand archivist,kabal talonpriest,kabal talonpriest,mind control,netherspite historian,netherspite historian,northshire cleric,northshire cleric,primordial drake,shadow essence,shadow essence,spiteful summoner,spiteful summoner,twilight acolyte,twilight acolyte,twilight drake,-1
983845-dragon-priest-knc-control,book wyrm,book wyrm,cabal shadow priest,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,elise the trailblazer,harrison jones,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,primordial drake,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,ysera,1
991883-dragon-priest,cabal shadow priest,cobalt scalebane,cobalt scalebane,divine spirit,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,inner fire,kabal talonpriest,kabal talonpriest,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,priest of the feast,priest of the feast,shadow visions,shadow visions,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,twilight drake,twilight drake,1
991877-awakens,arfus,awaken the makers,barnes,bone drake,crystalline oracle,crystalline oracle,eternal servitude,eternal servitude,free from amber,holy nova,loot hoarder,loot hoarder,mistress of mixtures,mistress of mixtures,nzoth the corruptor,obsidian statue,onyx bishop,shadow essence,shadow essence,shadow word death,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,shallow gravedigger,shallow gravedigger,shifting shade,shifting shade,tortollan shellraiser,tortollan shellraiser,-1
991853-fire-bats-dino-aggro-preist,charged devilsaur,charged devilsaur,circle of healing,circle of healing,divine spirit,divine spirit,dragonfire potion,dragonfire potion,embrace the shadow,eternal servitude,eternal servitude,holy fire,holy smite,inner fire,inner fire,leeroy jenkins,mass dispel,mind blast,mind blast,pint size potion,pint size potion,power word shield,power word shield,shadow essence,shadow essence,shadow word death,shadow word horror,shadow word horror,shadow word pain,shadowreaper anduin,2
991833-new-fun-miracle-priest-kobolds,acolyte of pain,acolyte of pain,arcane giant,arcane giant,auchenai soulpriest,circle of healing,circle of healing,divine spirit,dragon soul,dragonfire potion,gilded gargoyle,gilded gargoyle,lyra the sunshard,northshire cleric,northshire cleric,potion of madness,potion of madness,power word shield,power word shield,psionic probe,psionic probe,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word pain,shadow word pain,wild pyromancer,wild pyromancer,yogg saron hopes end,1
991831-tier-2-dragon-priest,cobalt scalebane,cobalt scalebane,divine spirit,divine spirit,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,inner fire,inner fire,kabal talonpriest,kabal talonpriest,lyra the sunshard,netherspite historian,netherspite historian,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,priest of the feast,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,tar creeper,tar creeper,twilight drake,twilight drake,1
991826-tier-1-big-priest,barnes,circle of healing,circle of healing,dragonfire potion,dragonfire potion,embrace the shadow,embrace the shadow,eternal servitude,eternal servitude,greater healing potion,greater healing potion,obsidian statue,obsidian statue,pint size potion,pint size potion,shadow essence,shadow essence,shadow visions,shadow visions,shadow word death,shadow word death,shadow word horror,shadow word horror,shadow word pain,shadow word pain,shadowreaper anduin,silence,the lich king,ysera,yshaarj rage unbound,2
991821-best-dragon-priest,curious glimmerroot,curious glimmerroot,deathwing,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,elise the trailblazer,gluttonous ooze,lyra the sunshard,northshire cleric,northshire cleric,potion of madness,power word shield,power word shield,primordial drake,primordial drake,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,shadowreaper anduin,twilight acolyte,ysera,1
991780-dragon-razakus-priest,acidic swamp ooze,cobalt scalebane,dragon soul,dragonfire potion,drakonid operative,duskbreaker,eternal servitude,free from amber,holy nova,kazakus,lesser diamond spellstone,mind blast,netherspite historian,obsidian statue,pint size potion,potion of madness,primordial drake,prophet velen,psychic scream,radiant elemental,raza the chained,shadow visions,shadow word death,shadow word horror,shadow word pain,shadowreaper anduin,sleepy dragon,spirit lash,tar creeper,tortollan shellraiser,-1
991767-love-dragons,book wyrm,book wyrm,curious glimmerroot,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,holy nova,kabal talonpriest,kabal talonpriest,netherspite historian,netherspite historian,northshire cleric,northshire cleric,power word shield,power word shield,primordial drake,primordial drake,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadow word death,shadow word pain,shadow word pain,twilight acolyte,twilight acolyte,ysera,1
991758-wersdf,book wyrm,cobalt scalebane,cobalt scalebane,curious glimmerroot,dragonfire potion,dragonfire potion,drakonid operative,drakonid operative,duskbreaker,duskbreaker,harrison jones,netherspite historian,netherspite historian,potion of madness,potion of madness,power word shield,power word shield,primordial drake,psychic scream,radiant elemental,radiant elemental,shadow visions,shadow visions,shadow word death,shadowreaper anduin,twilight acolyte,twilight acolyte,twilight drake,twilight drake,zola the gorgon,1
