Name,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7,Card 8,Card 9,Card 10,Card 11,Card 12,Card 13,Card 14,Card 15,Card 16,Card 17,Card 18,Card 19,Card 20,Card 21,Card 22,Card 23,Card 24,Card 25,Card 26,Card 27,Card 28,Card 29,Card 30
993311-ez-big-ez-kobold,silence,silence,pint size potion,pint size potion,potion of madness,potion of madness,power word shield,power word shield,shadow visions,shadow visions,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,shadow essence,shadow essence,lesser diamond spellstone,psychic scream,free from amber,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
993142-big-spell-priest,northshire cleric,northshire cleric,twilight acolyte,twilight acolyte,duskbreaker,duskbreaker,drakonid operative,drakonid operative,dragonfire potion,dragonfire potion,psychic scream,psychic scream,free from amber,free from amber,mind control,mind control,doomsayer,doomsayer,netherspite historian,netherspite historian,lone champion,lone champion,twilight drake,twilight drake,book wyrm,book wyrm,spiteful summoner,spiteful summoner,medivh the guardian,primordial drake
993114-kac-big-priest,silence,pint size potion,pint size potion,potion of madness,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,psychic scream,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
992898-my-rank-10-big-dragon-priest,inner fire,inner fire,northshire cleric,northshire cleric,divine spirit,divine spirit,dragon soul,kabal talonpriest,kabal talonpriest,duskbreaker,duskbreaker,drakonid operative,drakonid operative,holy nova,holy nova,dragonfire potion,dragonfire potion,free from amber,free from amber,netherspite historian,netherspite historian,cobalt scalebane,cobalt scalebane,dragonhatcher,dragonhatcher,master oakheart,sleepy dragon,sleepy dragon,deathwing dragonlord,yshaarj rage unbound
992696-big-priest,silence,holy smite,pint size potion,potion of madness,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,mass dispel,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,shadowreaper anduin,obsidian statue,barnes,the lich king,ysera,deathwing dragonlord,yshaarj rage unbound
992579-big-spellstone-priest,silence,silence,pint size potion,pint size potion,potion of madness,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,free from amber,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
992505-big-otk-priest,holy smite,pint size potion,potion of madness,potion of madness,mind blast,mind blast,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,thoughtsteal,thoughtsteal,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,prophet velen,free from amber,shadowreaper anduin,obsidian statue,the lich king,malygos
992293-knc-ez-big-priest,pint size potion,pint size potion,psionic probe,psionic probe,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,psychic scream,free from amber,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
992185-resurrection-of-big-priest,pint size potion,pint size potion,potion of madness,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,twilights call,eternal servitude,eternal servitude,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,free from amber,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
992145-gudus-big-priest,circle of healing,circle of healing,embrace the shadow,embrace the shadow,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,twilights call,eternal servitude,eternal servitude,greater healing potion,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,free from amber,free from amber,obsidian statue,obsidian statue,barnes,cairne bloodhoof,the lich king,ysera,nzoth the corruptor,yshaarj rage unbound
992114-otk-malygos-big-priest,circle of healing,circle of healing,holy smite,holy smite,embrace the shadow,embrace the shadow,mind blast,mind blast,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,holy nova,holy nova,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,prophet velen,barnes,malygos,yshaarj rage unbound
992034-big,silence,pint size potion,pint size potion,potion of madness,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
991826-tier-1-big-priest,circle of healing,circle of healing,silence,pint size potion,pint size potion,embrace the shadow,embrace the shadow,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
991601-big-problems,pint size potion,pint size potion,psionic probe,psionic probe,shadow visions,shadow visions,shadow word pain,shadow word pain,dragon soul,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
991562-big-5,silence,holy smite,pint size potion,pint size potion,potion of madness,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,mass dispel,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
991550-big-priest,silence,holy smite,potion of madness,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,twilights call,eternal servitude,eternal servitude,greater healing potion,mass dispel,holy nova,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,free from amber,free from amber,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
991336-big-boi-miracle-priest,silence,holy smite,holy smite,northshire cleric,pint size potion,pint size potion,mind blast,shadow visions,shadow visions,shadow word pain,shadow word pain,dragon soul,shadow word death,unidentified elixir,unidentified elixir,eternal servitude,eternal servitude,shadow word horror,shadow word horror,lyra the sunshard,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,prophet velen,questing adventurer,gadgetzan auctioneer,gadgetzan auctioneer,arcane giant,arcane giant
991156-big-priest,silence,pint size potion,pint size potion,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,twilights call,eternal servitude,eternal servitude,greater healing potion,shadow word horror,shadow word horror,lyra the sunshard,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,prophet velen,obsidian statue,obsidian statue,barnes,the lich king,sleepy dragon,ysera,nzoth the corruptor
991145-big-otk,holy smite,holy smite,pint size potion,pint size potion,mind blast,mind blast,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,prophet velen,psychic scream,psychic scream,obsidian statue,obsidian statue,barnes,malygos
991108-big-priest,circle of healing,circle of healing,pint size potion,pint size potion,embrace the shadow,embrace the shadow,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,psychic scream,psychic scream,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
991070-big-priest-bigger-and-better-than-ever,circle of healing,circle of healing,silence,embrace the shadow,embrace the shadow,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,psychic scream,psychic scream,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,deathwing,deathwing dragonlord,yshaarj rage unbound
991049-bigdragonpriest,power word shield,power word shield,psionic probe,psionic probe,shadow visions,shadow visions,shadow word pain,shadow word death,shadow word death,duskbreaker,duskbreaker,eternal servitude,eternal servitude,greater healing potion,drakonid operative,drakonid operative,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,shadowreaper anduin,obsidian statue,obsidian statue,bone drake,bone drake,the lich king,ysera,yshaarj rage unbound
991044-big-priest,holy smite,pint size potion,pint size potion,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
990926-big-quest,awaken the makers,holy smite,pint size potion,pint size potion,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,shadow word death,twilights call,twilights call,eternal servitude,eternal servitude,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,yshaarj rage unbound
990848-kobolds-big-priest,silence,pint size potion,pint size potion,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,psychic scream,psychic scream,free from amber,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
990846-big-priest-k-c-3-best,silence,pint size potion,pint size potion,potion of madness,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,dragon soul,shadow word death,eternal servitude,eternal servitude,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,psychic scream,psychic scream,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
990719-k-c-big-priest,silence,silence,pint size potion,pint size potion,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,psychic scream,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
990473-big-priest,circle of healing,circle of healing,pint size potion,pint size potion,potion of madness,psionic probe,psionic probe,embrace the shadow,embrace the shadow,shadow visions,shadow visions,shadow word pain,shadow word pain,dragon soul,eternal servitude,eternal servitude,greater healing potion,shadow word horror,shadow word horror,lyra the sunshard,dragonfire potion,shadow essence,shadow essence,psychic scream,obsidian statue,barnes,the darkness,the lich king,ysera,yshaarj rage unbound
981881-k-c-big-priest,silence,holy smite,holy smite,potion of madness,potion of madness,power word shield,power word shield,psionic probe,psionic probe,shadow visions,shadow visions,shadow word pain,shadow word pain,dragon soul,shadow word death,shadow word death,eternal servitude,eternal servitude,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
990148-kac-big-priest,pint size potion,pint size potion,potion of madness,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,psychic scream,psychic scream,obsidian statue,obsidian statue,barnes,charged devilsaur,the lich king,ysera,yshaarj rage unbound
989956-big-spell-priest,northshire cleric,northshire cleric,radiant elemental,radiant elemental,gilded gargoyle,gilded gargoyle,shadow word death,shadow word death,priest of the feast,priest of the feast,dragonfire potion,dragonfire potion,embrace darkness,lesser diamond spellstone,lesser diamond spellstone,free from amber,free from amber,shadowreaper anduin,mind control,mind control,loot hoarder,loot hoarder,tar creeper,tar creeper,bright eyed scout,bright eyed scout,spiteful summoner,spiteful summoner,grand archivist,grand archivist
989913-diamond-big-priest,silence,silence,pint size potion,pint size potion,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
989641-big-priest,circle of healing,circle of healing,pint size potion,pint size potion,embrace the shadow,embrace the shadow,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,shadow word horror,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,psychic scream,free from amber,shadowreaper anduin,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
989490-ez-big-ez,circle of healing,circle of healing,silence,pint size potion,pint size potion,embrace the shadow,embrace the shadow,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
989476-big-priest,holy smite,holy smite,pint size potion,pint size potion,potion of madness,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,shadow word horror,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,psychic scream,psychic scream,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
989311-big-priest-but-most-importantly-ez,pint size potion,pint size potion,potion of madness,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,thoughtsteal,eternal servitude,eternal servitude,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
989203-big-boi-2-0,pint size potion,pint size potion,potion of madness,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,psychic scream,psychic scream,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
988861-big,silence,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,shadow word death,shadow word death,thoughtsteal,eternal servitude,eternal servitude,greater healing potion,holy nova,holy nova,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,psychic scream,psychic scream,free from amber,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,yshaarj rage unbound
988532-big-priest,potion of madness,potion of madness,psionic probe,psionic probe,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,shadow word horror,holy nova,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,obsidian statue,obsidian statue,barnes,the lich king,dragonhatcher,sleepy dragon,ysera,yshaarj rage unbound
988515-otk-big-priest,circle of healing,circle of healing,holy smite,holy smite,pint size potion,pint size potion,embrace the shadow,embrace the shadow,mind blast,mind blast,shadow visions,shadow visions,spirit lash,spirit lash,eternal servitude,eternal servitude,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,prophet velen,barnes,carnivorous cube,carnivorous cube,dragonhatcher,malygos
988399-kobold-big-priest,circle of healing,circle of healing,silence,pint size potion,pint size potion,embrace the shadow,embrace the shadow,shadow visions,shadow visions,shadow word pain,dragon soul,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,yshaarj rage unbound
988373-k-c-big-priest,holy smite,potion of madness,potion of madness,psionic probe,psionic probe,shadow visions,shadow visions,shadow word pain,shadow word death,shadow word death,twilights call,twilights call,eternal servitude,eternal servitude,greater healing potion,greater healing potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,psychic scream,psychic scream,obsidian statue,obsidian statue,barnes,violet wurm,ysera,nzoth the corruptor,yshaarj rage unbound
988149-bigpriest,silence,holy smite,pint size potion,pint size potion,potion of madness,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,mass dispel,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,free from amber,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
987854-big-priest-twilight,potion of madness,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,twilights call,twilights call,eternal servitude,eternal servitude,greater healing potion,holy nova,holy nova,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,free from amber,free from amber,shadowreaper anduin,obsidian statue,obsidian statue,barnes,silver vanguard,silver vanguard,grand archivist,grand archivist,yshaarj rage unbound
987830-big-priest-normal,pint size potion,pint size potion,potion of madness,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,shadow word horror,shadow word horror,holy nova,holy nova,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
987726-big-diamonds,silence,pint size potion,pint size potion,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,shadow word horror,holy nova,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,free from amber,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
987634-the-darkness-big-priest,circle of healing,circle of healing,pint size potion,embrace the shadow,embrace the shadow,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the darkness,the lich king,ysera,yshaarj rage unbound
987602-bigpriest-top-18-last-day-before-new-patch,silence,silence,inner fire,inner fire,pint size potion,pint size potion,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,shadow essence,shadow essence,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
987358-big-priest,silence,holy smite,holy smite,potion of madness,potion of madness,shadow visions,shadow visions,shadow word pain,shadow word pain,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,psychic scream,psychic scream,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
987354-big-priest,pint size potion,pint size potion,potion of madness,power word shield,power word shield,shadow visions,shadow visions,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,shadow word horror,shadow word horror,dragonfire potion,dragonfire potion,holy fire,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,psychic scream,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the lich king,ysera
987237-dragon-big-priest,northshire cleric,northshire cleric,power word shield,power word shield,mind blast,mind blast,shadow visions,shadow word pain,shadow word pain,dragon soul,shadow word death,shadow word death,twilight acolyte,twilight acolyte,duskbreaker,duskbreaker,eternal servitude,eternal servitude,priest of the feast,priest of the feast,drakonid operative,drakonid operative,dragonfire potion,psychic scream,temporus,shadowreaper anduin,ebon dragonsmith,primordial drake,the lich king,ysera
987185-big-priest,silence,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,shadowreaper anduin,obsidian statue,obsidian statue,barnes,carnivorous cube,the lich king,blood of the ancient one,blood of the ancient one,sleepy dragon,ysera,deathwing,deathwing dragonlord,yshaarj rage unbound
987116-big-priest,circle of healing,circle of healing,silence,silence,embrace the shadow,embrace the shadow,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,dragonfire potion,dragonfire potion,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,obsidian statue,obsidian statue,barnes,the lich king,ysera,yshaarj rage unbound
986763-eternal-darkness-big-priest,circle of healing,circle of healing,silence,potion of madness,potion of madness,embrace the shadow,embrace the shadow,shadow visions,shadow visions,shadow word pain,shadow word pain,spirit lash,shadow word death,shadow word death,eternal servitude,eternal servitude,greater healing potion,greater healing potion,mass dispel,shadow essence,shadow essence,lesser diamond spellstone,lesser diamond spellstone,shadowreaper anduin,obsidian statue,obsidian statue,barnes,the darkness,ysera,yshaarj rage unbound
