,attack,classes,collectionText,cost,dbfId,durability,dust,entourage,faction,flavor,health,howToEarnGolden,id,mechanics,multiClassGroup,name,overload,playRequirements,playerClass,race,rarity,set,spellDamage,text,type
28,7.0,,,5.0,1122.0,,"[40, 400, 5, 50]",,HORDE,No Job is too big.  No fee is too big.,6.0,,CS2_227,['AURA'],,Venture Co. Mercenary,,,NEUTRAL,,COMMON,EXPERT1,,Your minions cost (3) more.,MINION
29,1.0,,,2.0,39554.0,,"[40, 400, 5, 50]",,,She can tell you all about the history of people not STANDING IN THE GREEN BEAM!,3.0,"Crafting unlocked in the Spire, in One Night in Karazhan.",KAR_062,['BATTLECRY'],,Netherspite Historian,,,NEUTRAL,,COMMON,KARA,,"<b>Battlecry:</b> If you're holding a Dragon, <b>Discover</b>
a Dragon.",MINION
30,17.0,,,10.0,42124.0,,,,,,17.0,,CFM_712_t17,['JADE_GOLEM'],,Jade Golem,,,NEUTRAL,,,GANGS,,,MINION
35,7.0,,,4.0,38263.0,,"[40, 400, 5, 50]",,,He's on fire! Boomshakalaka!,7.0,,OG_024,,,Flamewreathed Faceless,2.0,,SHAMAN,,COMMON,OG,,<b>Overload:</b> (2),MINION
39,0.0,,,2.0,39308.0,,,,,,5.0,,KAR_710m,['TAUNT'],,Animated Shield,,,NEUTRAL,,,KARA,,<b>Taunt</b>,MINION
44,1.0,,,1.0,38541.0,,"[40, 400, 5, 50]",,,"Ok, Initiate. You need to settle down and do your job. In this case, that means die so someone else can get a minor buff.",1.0,,OG_158,['DEATHRATTLE'],,Zealous Initiate,,,NEUTRAL,,COMMON,OG,,<b>Deathrattle:</b> Give a random friendly minion +1/+1.,MINION
57,1.0,,,1.0,1775.0,,,,,,3.0,,CRED_15,,,Andy Brock,,,NEUTRAL,,LEGENDARY,CREDITS,,"Can't be <b>Silenced. Divine Shield, Stealth.</b>",MINION
58,5.0,,,5.0,42063.0,,,,,,5.0,,CFM_621_m2,,,Kabal Demon,,,NEUTRAL,DEMON,,GANGS,,,MINION
60,3.0,,,3.0,40377.0,,,,,,4.0,,TB_Coopv3_100,,,Dragonscale Warrior,,,NEUTRAL,,,TB,,"Whenever any player targets this minion with a spell, that player draws a card.",MINION
61,3.0,,,5.0,2037.0,,"[40, 400, 5, 50]",,,"They don't make 'em like they used to! (Because of explosions, mostly.)",3.0,,GVG_069,['BATTLECRY'],,Antique Healbot,,,NEUTRAL,MECHANICAL,COMMON,GVG,,<b>Battlecry:</b> Restore 8 Health to your hero.,MINION
63,3.0,,,3.0,3027.0,,,,,,4.0,,CRED_27,,,Henry Ho,,,NEUTRAL,,LEGENDARY,CREDITS,,<b>Battlecry:</b> Spectate your opponent's hand.,MINION
64,0.0,,,0.0,548.0,,,,,,1.0,,hexfrog,['TAUNT'],,Frog,,,NEUTRAL,BEAST,COMMON,CORE,,<b>Taunt</b>,MINION
68,2.0,,,2.0,2040.0,,"[100, 800, 20, 100]",,,"Punching is its primary function. Also, its secondary function.",3.0,,GVG_072,,,Shadowboxer,,,PRIEST,MECHANICAL,RARE,GVG,,"Whenever a character is healed, deal 1 damage to a random enemy.",MINION
72,3.0,,,5.0,38526.0,,"[40, 400, 5, 50]",,,"""Annoyinger-o-Tron"" was just too unwieldy. And accurate.",4.0,,OG_145,"['DIVINE_SHIELD', 'TAUNT']",,Psych-o-Tron,,,NEUTRAL,MECHANICAL,COMMON,OG,,"<b>Taunt</b>
<b>Divine Shield</b>",MINION
74,2.0,,,3.0,38916.0,,"[100, 800, 20, 100]",,,"Druids who spend too long in bear form are more susceptible to the whispers of the Old Gods.  Right now they are whispering the lyrics to ""La Bamba"".",2.0,,OG_313,,,Addled Grizzly,,,DRUID,BEAST,RARE,OG,,"After you summon a minion, give it +1/+1.",MINION
75,1.0,,,4.0,39088.0,,,,,,5.0,,TB_KTRAF_2s,,,Sir Zeliek,,,NEUTRAL,,LEGENDARY,TB,,Lady Blaumeux is <b>Immune</b>.,MINION
76,4.0,,,5.0,2497.0,,"[40, 400, 5, 50]",,,"An elegant gorilla, for a more civilized age.",3.0,,AT_090,['INSPIRE'],,Mukla's Champion,,,NEUTRAL,BEAST,COMMON,TGT,,<b>Inspire:</b> Give your other minions +1/+1.,MINION
80,3.0,,,4.0,39442.0,,"[40, 400, 5, 50]",,,Now that's a world champion cheesecake!,6.0,"Crafting unlocked in the Parlor, in One Night in Karazhan.",KAR_035,,,Priest of the Feast,,,PRIEST,,COMMON,KARA,,"Whenever you cast a spell, restore 3 Health to
your hero.",MINION
86,1.0,,,2.0,36112.0,,,,,,1.0,,TB_MechWar_Minion1,['TAUNT'],,Mech Fan,,,NEUTRAL,,,TB,,<b>Taunt</b>,MINION
90,4.0,,,5.0,2144.0,,"[1600, 3200, 400, 1600]",,,,7.0,,NAX13_04H,,,Feugen,,,NEUTRAL,,LEGENDARY,NAXX,,,MINION
91,1.0,,,0.0,1916.0,,,,,,1.0,,XXX_099,,,AI Helper Buddy,,,NEUTRAL,,,CHEAT,,Get the AI ready for testing.,MINION
93,5.0,,,6.0,2083.0,,"[1600, 3200, 400, 1600]",,,Something about power converters.,7.0,,GVG_115,"['BATTLECRY', 'DEATHRATTLE']",,Toshley,,,NEUTRAL,,LEGENDARY,GVG,,<b>Battlecry and Deathrattle:</b> Add a <b>Spare Part</b> card to your hand.,MINION
95,2.0,,,3.0,339.0,,,,ALLIANCE,"""Ready! Aim! Drink!""",2.0,Unlocked at Mage Level 55.,CS2_141,['BATTLECRY'],,Ironforge Rifleman,,"{'REQ_NONSELF_TARGET': 0, 'REQ_TARGET_IF_AVAILABLE': 0}",NEUTRAL,,COMMON,CORE,,<b>Battlecry:</b> Deal 1 damage.,MINION
97,5.0,,<b>Battlecry:</b> Summon a <b>Jade Golem</b>. Give it <b>Taunt</b>.,7.0,40422.0,,"[40, 400, 5, 50]",,,"Seeing his Jade Golem grow up into the tall, handsome 6/6 standing before him was the proudest moment of his life.",5.0,,CFM_312,"['BATTLECRY', 'JADE_GOLEM']",,Jade Chieftain,,,SHAMAN,,COMMON,GANGS,,<b>Battlecry:</b> Summon a{1} {0} <b>Jade Golem</b>. Give it <b>Taunt</b>.,MINION
101,2.0,,,2.0,38747.0,,,,,,2.0,,LOEA09_6H,['BATTLECRY'],,Slithering Archer,,,NEUTRAL,,,LOE,,<b>Battlecry:</b> Deal 2 damage to all enemy minions.,MINION
102,6.0,,,8.0,890.0,,"[1600, 3200, 400, 1600]",,,"If you haven't heard the Tirion Fordring theme song, it's because it doesn't exist.",6.0,,EX1_383,"['DEATHRATTLE', 'DIVINE_SHIELD', 'TAUNT']",,Tirion Fordring,,,PALADIN,,LEGENDARY,EXPERT1,,<b>Divine Shield</b>. <b>Taunt</b>. <b>Deathrattle:</b> Equip a 5/3 Ashbringer.,MINION
103,4.0,,,5.0,16236.0,,,,,,6.0,,LOEA07_12,,,Earthen Pursuer,,,NEUTRAL,,,LOE,,,MINION
104,3.0,,,3.0,40569.0,,"[100, 800, 20, 100]",,,"""I don't know a lot about used GvG cards, so I'm going to have to call in an expert.""",3.0,,CFM_755,['BATTLECRY'],,Grimestreet Pawnbroker,,,WARRIOR,,RARE,GANGS,,<b>Battlecry:</b> Give a random weapon in your hand +1/+1.,MINION
111,2.0,,,4.0,2488.0,,"[40, 400, 5, 50]",,,Not a good basis for a system of government.,6.0,,AT_085,['AURA'],,Maiden of the Lake,,,NEUTRAL,,COMMON,TGT,,Your Hero Power costs (1).,MINION
112,2.0,,,1.0,1751.0,,,,,,1.0,,EX1_614t,,,Flame of Azzinoth,,,NEUTRAL,,,EXPERT1,,,MINION
115,6.0,,,6.0,1143.0,,"[40, 400, 5, 50]",,,,6.0,,EX1_tk34,,,Infernal,,,WARLOCK,DEMON,COMMON,EXPERT1,,,MINION
117,5.0,,,5.0,38686.0,,"[1600, 3200, 400, 1600]",,,,5.0,,LOEA16_22,,,Archaedas,,,NEUTRAL,,LEGENDARY,LOE,,"At the end of your turn, turn a random enemy minion into a 0/2 Statue.",MINION
119,6.0,,,6.0,1019.0,,,,,"""INFERNOOOOOOOOOO!"" - Jaraxxus, Eredar Lord of the Burning Legion",6.0,Unlocked at Level 23.,CS2_064,['BATTLECRY'],,Dread Infernal,,,WARLOCK,DEMON,COMMON,CORE,,<b>Battlecry:</b> Deal 1 damage to ALL other characters.,MINION
122,1.0,,,3.0,38635.0,,,,,,1.0,,LOEA09_11,,,Hungry Naga,,,NEUTRAL,,,LOE,,,MINION
123,5.0,,,6.0,445.0,,,,HORDE,One Insane Rocketeer.   One Rocket full of Explosives.   Infinite Fun.,2.0,Unlocked at Shaman Level 59.,CS2_213,['CHARGE'],,Reckless Rocketeer,,,NEUTRAL,,FREE,CORE,,<b>Charge</b>,MINION
124,2.0,,,3.0,39386.0,,,,,,6.0,,KAR_A10_04,['AUTOATTACK'],,White Rook,,,NEUTRAL,,,KARA,,<b>Auto-Attack:</b> Deal 2 damage to the enemies opposite this minion.,MINION
126,11.0,,,10.0,1798.0,,"[1600, 3200, 400, 1600]",,,,11.0,,FP1_014t,,,Thaddius,,,NEUTRAL,,LEGENDARY,NAXX,,,MINION
128,3.0,,,4.0,3037.0,,,,,,4.0,,CRED_37,,,Ricardo Robaina,,,NEUTRAL,,LEGENDARY,CREDITS,,<b>Battlecry:</b> Summon three 1/1 Chinchillas.,MINION
130,1.0,,,1.0,38773.0,,,,,,1.0,,OG_241a,,,Shadowbeast,,,WARLOCK,,,OG,,,MINION
131,4.0,,,4.0,42101.0,,,,,,4.0,,CFM_712_t04,['JADE_GOLEM'],,Jade Golem,,,NEUTRAL,,,GANGS,,,MINION
134,1.0,,,4.0,2822.0,,"[400, 1600, 100, 400]",,,"Crescendo himself summoned this steed, riding it to victory in the Grand Tournament.  Wherever he rides, an army of riders ride behind him, supporting the legendary champion.",1.0,,AT_019,['DEATHRATTLE'],,Dreadsteed,,,WARLOCK,DEMON,EPIC,TGT,,<b>Deathrattle:</b> Summon a Dreadsteed.,MINION
135,2.0,,,2.0,985.0,,"[40, 400, 5, 50]",,,"We are pretty excited about the upcoming release of Dire Wolf Beta, just repost this sign for a chance at a key.",2.0,,EX1_162,"['ADJACENT_BUFF', 'AURA']",,Dire Wolf Alpha,,,NEUTRAL,BEAST,COMMON,EXPERT1,,Adjacent minions have +1 Attack.,MINION
136,6.0,,,7.0,40541.0,,"[40, 400, 5, 50]",,,The Kabal print this on every package of illicit Mana Crystals: WARNING - DO NOT PUT WITHIN REACH OF ABYSSALS. THIS IS NOT APPROVED FOR USE BY FLAMING DEMONS OF ANY KIND.,6.0,,CFM_751,['BATTLECRY'],,Abyssal Enforcer,,,WARLOCK,DEMON,COMMON,GANGS,,<b>Battlecry:</b> Deal 3 damage to all other characters.,MINION
142,1.0,,,1.0,2019.0,,"[40, 400, 5, 50]",,,"Mass production of warbots was halted when it was discovered that they were accidentally being produced at ""sample size.""",3.0,,GVG_051,['ENRAGED'],,Warbot,,,WARRIOR,MECHANICAL,COMMON,GVG,,<b>Enrage:</b> +1 Attack.,MINION
143,4.0,,,5.0,1682.0,,"[40, 400, 5, 50]",,,,6.0,,EX1_165t2,['TAUNT'],,Druid of the Claw,,,DRUID,BEAST,COMMON,EXPERT1,,<b>Taunt</b>,MINION
144,3.0,,,4.0,2036.0,,"[40, 400, 5, 50]",,,He's burly because he does CrossFit.,5.0,,GVG_068,,,Burly Rockjaw Trogg,,,NEUTRAL,,COMMON,GVG,,"Whenever your opponent casts a spell, gain +2 Attack.",MINION
145,6.0,,,2.0,2772.0,,,,,,6.0,,BRMC_90,['TAUNT'],,Living Lava,,,NEUTRAL,,,TB,,<b>Taunt</b>,MINION
146,2.0,,,1.0,471.0,,"[40, 400, 5, 50]",,,,1.0,,skele21,,,Damaged Golem,,,NEUTRAL,MECHANICAL,COMMON,EXPERT1,,,MINION
150,4.0,,,6.0,38517.0,,"[40, 400, 5, 50]",,,It’s a self-reducing prophecy.,4.0,,OG_138,,,Nerubian Prophet,,,NEUTRAL,,COMMON,OG,,"At the start of your turn, reduce this card's
Cost by (1).",MINION
154,1.0,,,5.0,2074.0,,"[400, 1600, 100, 400]",,,One bot's junk is another bot's AWESOME UPGRADE!,5.0,,GVG_106,,,Junkbot,,,NEUTRAL,MECHANICAL,EPIC,GVG,,"Whenever a friendly Mech dies, gain +2/+2.",MINION
155,7.0,,,0.0,40117.0,,,,,,5.0,,XXX_109,,,Illidan Stormrage Cheat,,,NEUTRAL,DEMON,COMMON,CHEAT,,"Whenever you play a card, deal 1 damage to all minions.",MINION
156,2.0,,,3.0,778.0,,"[40, 400, 5, 50]",,,"""Overheat threshold exceeded. System failure. Wheat clog in port two. Shutting down.""",3.0,,EX1_556,['DEATHRATTLE'],,Harvest Golem,,,NEUTRAL,MECHANICAL,COMMON,EXPERT1,,<b>Deathrattle:</b> Summon a 2/1 Damaged Golem.,MINION
158,3.0,,,3.0,1875.0,,,,,,4.0,,NAX8_04,['DEATHRATTLE'],,Unrelenting Warrior,,,NEUTRAL,,,NAXX,,<b>Deathrattle:</b> Summon a Spectral Warrior for your opponent.,MINION
160,2.0,,,3.0,2490.0,,"[40, 400, 5, 50]",,,His horse's name is Betsy.,1.0,,AT_087,"['CHARGE', 'DIVINE_SHIELD']",,Argent Horserider,,,NEUTRAL,,COMMON,TGT,,"<b>Charge</b>
<b>Divine Shield</b>",MINION
162,1.0,,,1.0,40608.0,,"[100, 800, 20, 100]",,,"""Oh, I'm not serious about it.  I only pirate on the weekends.""",2.0,,CFM_325,,,Small-Time Buccaneer,,,NEUTRAL,PIRATE,RARE,GANGS,,Has +2 Attack while you have a weapon equipped.,MINION
163,3.0,,,3.0,38611.0,,,,,,3.0,,LOEA09_5H,,,Hungry Naga,,,NEUTRAL,,,LOE,,,MINION
166,5.0,,,5.0,38683.0,,"[1600, 3200, 400, 1600]",,,,5.0,,LOEA16_23,,,Lord Slitherspear,,,NEUTRAL,,LEGENDARY,LOE,,"At the end of your turn, summon 1/1 Hungry Naga for each enemy minion.",MINION
167,1.0,,,1.0,2270.0,,,,,,1.0,,GVG_045t,,,Imp,,,WARLOCK,DEMON,,GVG,,,MINION
169,2.0,,,3.0,38797.0,,"[40, 400, 5, 50]",,,Who's a cute widdle N'Zoth? You are! Yes you are! Yes you're the cutest widdle N'Zoth in the whole world!!!,2.0,,OG_256,['DEATHRATTLE'],,Spawn of N'Zoth,,,NEUTRAL,,COMMON,OG,,<b>Deathrattle:</b> Give your minions +1/+1.,MINION
175,3.0,,,4.0,2199.0,,,,,,3.0,,NAX15_03n,['TAUNT'],,Guardian of Icecrown,,,NEUTRAL,,,NAXX,,<b>Taunt</b>,MINION
179,1.0,,,1.0,1782.0,,,,,,1.0,,FP1_002t,,,Spectral Spider,,,NEUTRAL,,,NAXX,,,MINION
183,4.0,,,6.0,2315.0,,,,,,8.0,,BRMA01_3,,,Dark Iron Bouncer,,,NEUTRAL,,,BRM,,Always wins Brawls.,MINION
188,8.0,,,9.0,581.0,,"[1600, 3200, 400, 1600]",,,Alexstrasza the Life-Binder brings life and hope to everyone.  Except Deathwing.  And Malygos.  And Nekros.,8.0,,EX1_561,['BATTLECRY'],,Alexstrasza,,"{'REQ_HERO_TARGET': 0, 'REQ_TARGET_IF_AVAILABLE': 0}",NEUTRAL,DRAGON,LEGENDARY,EXPERT1,,<b>Battlecry:</b> Set a hero's remaining Health to 15.,MINION
189,1.0,,,1.0,41839.0,,,,,,1.0,,CFM_316t,,,Rat,,,HUNTER,BEAST,,GANGS,,,MINION
190,0.0,,,1.0,2609.0,,,,,,3.0,,BRMA10_4H,['InvisibleDeathrattle'],,Corrupted Egg,,,NEUTRAL,,,BRM,,"When this minion has 5 or more Health, it hatches.",MINION
191,7.0,,,10.0,38505.0,,"[1600, 3200, 400, 1600]",,,I spell your doom... Y-O-U-R D-O-O-M!,5.0,,OG_134,['BATTLECRY'],,"Yogg-Saron, Hope's End",,,NEUTRAL,,LEGENDARY,OG,,<b>Battlecry:</b> Cast a random spell for each spell you've cast this game <i>(targets chosen randomly)</i>.,MINION
194,1.0,,,1.0,443.0,,"[400, 1600, 100, 400]",,,Murloc.  It's what's for dinner.,2.0,,NEW1_017,['BATTLECRY'],,Hungry Crab,,"{'REQ_TARGET_IF_AVAILABLE': 0, 'REQ_TARGET_WITH_RACE': 14}",NEUTRAL,BEAST,EPIC,EXPERT1,,<b>Battlecry:</b> Destroy a Murloc and gain +2/+2.,MINION
197,3.0,,,3.0,2891.0,,"[100, 800, 20, 100]",,,Still hunting for the ones who earthed him.,4.0,"Crafting unlocked in Uldaman, in the League of Explorers adventure.",LOE_019,['BATTLECRY'],,Unearthed Raptor,,"{'REQ_FRIENDLY_TARGET': 0, 'REQ_TARGET_IF_AVAILABLE': 0, 'REQ_TARGET_WITH_DEATHRATTLE': 0}",ROGUE,,RARE,LOE,,<b>Battlecry:</b> Choose a friendly minion. Gain a copy of its <b>Deathrattle</b> effect.,MINION
198,2.0,,,5.0,2028.0,,"[400, 1600, 100, 400]",,,His specialty? Dividing things into four pieces.,5.0,,GVG_060,['BATTLECRY'],,Quartermaster,,,PALADIN,,EPIC,GVG,,<b>Battlecry:</b> Give your Silver Hand Recruits +2/+2.,MINION
199,4.0,,,4.0,40695.0,,"[100, 800, 20, 100]",,,"He used to be Aya's tutor, but she fired him for bugging her too much.",4.0,,CFM_694,['BATTLECRY'],,Shadow Sensei,,"{'REQ_MINION_TARGET': 0, 'REQ_STEALTHED_TARGET': 0, 'REQ_TARGET_IF_AVAILABLE': 0}",ROGUE,,RARE,GANGS,,<b>Battlecry:</b> Give a <b>Stealthed</b> minion +2/+2.,MINION
201,5.0,,,6.0,512.0,,"[40, 400, 5, 50]",,,When a Water elemental and an Ice elemental love each other VERY much...,5.0,,EX1_283,"['BATTLECRY', 'FREEZE']",,Frost Elemental,,{'REQ_TARGET_IF_AVAILABLE': 0},NEUTRAL,,COMMON,EXPERT1,,<b>Battlecry:</b> <b>Freeze</b> a character.,MINION
205,8.0,,,12.0,2233.0,,"[400, 1600, 100, 400]",,,He and Mountain Giant don't get along.,8.0,,GVG_121,,,Clockwork Giant,,,NEUTRAL,MECHANICAL,EPIC,GVG,,Costs (1) less for each card in your opponent's hand.,MINION
206,4.0,,,4.0,887.0,,"[100, 800, 20, 100]",,,"She's actually a male tauren.  People don't call him ""Master of Disguise"" for nothing.",4.0,,NEW1_014,['BATTLECRY'],,Master of Disguise,,"{'REQ_FRIENDLY_TARGET': 0, 'REQ_MINION_TARGET': 0, 'REQ_NONSELF_TARGET': 0, 'REQ_TARGET_IF_AVAILABLE': 0}",ROGUE,,RARE,EXPERT1,,<b>Battlecry:</b> Give a friendly minion <b>Stealth</b> until your next turn.,MINION
209,0.0,,,3.0,1876.0,,,,,,4.0,,NAX8_04t,,,Spectral Warrior,,,NEUTRAL,,,NAXX,,"At the start of your turn, deal 1 damage to your hero.",MINION
212,0.0,,,5.0,2958.0,,"[100, 800, 20, 100]",,,Sometimes it feels like it's always the same slackers that are waiting for a summon.,6.0,"Crafting unlocked in the Temple of Orsis, in the League of Explorers adventure.",LOE_086,,,Summoning Stone,,,NEUTRAL,,RARE,LOE,,"Whenever you cast a spell, summon a random minion of the same Cost.",MINION
213,3.0,,,4.0,1806.0,,"[40, 400, 5, 50]",,,"""Void!  Here, void!  Here, buddy!""",4.0,"Crafting unlocked in The Military Quarter, in the Naxxramas adventure.",FP1_022,['DEATHRATTLE'],,Voidcaller,,,WARLOCK,DEMON,COMMON,NAXX,,<b>Deathrattle:</b> Put a random Demon from your hand into the battlefield.,MINION
214,3.0,,,2.0,1830.0,,,,,,1.0,,NAX1_03,,,Nerubian,,,NEUTRAL,,,NAXX,,,MINION
215,1.0,,,1.0,2235.0,,,,,,1.0,,GVG_110t,['DEATHRATTLE'],,Boom Bot,,,NEUTRAL,MECHANICAL,,GVG,,<b>Deathrattle:</b> Deal 1-4 damage to a random enemy.,MINION
217,3.0,,,3.0,2748.0,,"[1600, 3200, 400, 1600]",,,"LOVES being called ""the wonder twins"".",4.0,,AT_129,,,Fjola Lightbane,,,NEUTRAL,,LEGENDARY,TGT,,"Whenever <b>you</b> target this minion with a spell, gain <b>Divine Shield.</b>",MINION
219,3.0,,,3.0,40681.0,,"[40, 400, 5, 50]",,,The Grimy Goons can get you any weapon you want but if you want it to not explode you gotta pay extra.,3.0,,CFM_336,['DEATHRATTLE'],,Shaky Zipgunner,,,HUNTER,,COMMON,GANGS,,"[x]<b>Deathrattle:</b> Give a random
minion in your hand +2/+2.",MINION
220,3.0,,,5.0,2765.0,,"[40, 400, 5, 50]",,,"He needed a break after that business in the Vale of Eternal Blossoms. Naturally, he chose to spend his vacation in an icy snowscape killing monsters.",7.0,,AT_028,['COMBO'],,Shado-Pan Rider,,,ROGUE,,COMMON,TGT,,<b>Combo:</b> Gain +3 Attack.,MINION
225,2.0,,,1.0,38740.0,,"[100, 800, 20, 100]",,,"""Don't worry about me… I'll just be here... under these tentacles.""",1.0,,OG_221,['DEATHRATTLE'],,Selfless Hero,,,PALADIN,,RARE,OG,,<b>Deathrattle:</b> Give a random friendly minion <b>Divine Shield</b>.,MINION
226,5.0,,,5.0,1914.0,,"[1600, 3200, 400, 1600]",,,Loatheb used to be a simple Bog Beast.  This is why we need stricter regulations on mining and agriculture.,5.0,"Crafting unlocked in The Plague Quarter, in the Naxxramas adventure.",FP1_030,['BATTLECRY'],,Loatheb,,,NEUTRAL,,LEGENDARY,NAXX,,<b>Battlecry:</b> Enemy spells cost (5) more next turn.,MINION
227,1.0,,,3.0,67.0,,,,HORDE,"He likes to act like he's in charge, but the silverback matriarch actually runs things.",4.0,Unlocked at Warrior Level 53.,CS2_127,['TAUNT'],,Silverback Patriarch,,,NEUTRAL,BEAST,COMMON,CORE,,<b>Taunt</b>,MINION
228,1.0,,,2.0,2071.0,,"[40, 400, 5, 50]",,,This card is the real thing.,2.0,,GVG_103,,,Micro Machine,,,NEUTRAL,MECHANICAL,COMMON,GVG,,"At the start of each turn, gain +1 Attack.",MINION
230,0.0,,,1.0,42373.0,,,,,,4.0,,TB_SPT_DPromoCrate2,['DEATHRATTLE'],,Discarded Armor,,,NEUTRAL,,,TB,,<b>Deathrattle:</b> Current turn player gains 5 armor.,MINION
231,7.0,,,9.0,2964.0,,"[1600, 3200, 400, 1600]",,,He's very good at retrieving artifacts.  From other people's museums.,8.0,"Crafting unlocked in the Hall of Explorers, in the League of Explorers adventure.",LOE_092,['BATTLECRY'],,Arch-Thief Rafaam,,,NEUTRAL,,LEGENDARY,LOE,,<b>Battlecry: Discover</b> a powerful Artifact.,MINION
233,3.0,,,2.0,2767.0,,"[40, 400, 5, 50]",,,Almost went to play for Stormwind before signing with Undercity.,2.0,,AT_030,['COMBO'],,Undercity Valiant,,{'REQ_TARGET_FOR_COMBO': 0},ROGUE,,COMMON,TGT,,<b>Combo:</b> Deal 1 damage.,MINION
235,4.0,,,5.0,1657.0,,"[400, 1600, 100, 400]",,,Mere devilsaurs no longer excite him.  Soon he'll be trying to catch Onyxia with only a dull Krol Blade.,2.0,,EX1_005,['BATTLECRY'],,Big Game Hunter,,"{'REQ_MINION_TARGET': 0, 'REQ_TARGET_IF_AVAILABLE': 0, 'REQ_TARGET_MIN_ATTACK': 7}",NEUTRAL,,EPIC,EXPERT1,,<b>Battlecry:</b> Destroy a minion with 7 or more Attack.,MINION
243,5.0,,,6.0,2510.0,,"[400, 1600, 100, 400]",,,"A veteran of a number of crusades, she is a force for light and goodness.  Her latest crusade is against goblin telemarketers.",5.0,,AT_118,['BATTLECRY'],,Grand Crusader,,,NEUTRAL,,EPIC,TGT,,<b>Battlecry:</b> Add a random Paladin card to your hand.,MINION
244,3.0,,,4.0,2704.0,,"[40, 400, 5, 50]",,,"Menu:  Funnel cakes, carrots, popcorn, jormungar steaks.  It's hard serving a diverse clientele.",5.0,,AT_111,['BATTLECRY'],,Refreshment Vendor,,,NEUTRAL,,COMMON,TGT,,<b>Battlecry:</b> Restore 4 Health to each hero.,MINION
245,4.0,,,4.0,39390.0,,,,,,3.0,,KAR_A10_08,['CHARGE'],,White Knight,,,NEUTRAL,,,KARA,,"<b>Charge</b>.
Can't Attack Heroes.",MINION
247,10.0,,,10.0,38814.0,,"[1600, 3200, 400, 1600]",,,,10.0,,LOEA16_19H,['AURA'],,Sun Raider Phaerix,,,NEUTRAL,,LEGENDARY,LOE,,Your other minions are <b>Immune</b>.,MINION
250,2.0,,,2.0,1767.0,,,,,,2.0,,CRED_07,,,Zwick,,,NEUTRAL,,LEGENDARY,CREDITS,,<b>Battlecry:</b> Complain about bacon prices.,MINION
252,4.0,,,2.0,2623.0,,"[40, 400, 5, 50]",,,"After playing against 5 Annoy-O-Trons, any normal guard will become a Wrathguard.",3.0,,AT_026,,,Wrathguard,,,WARLOCK,DEMON,COMMON,TGT,,"Whenever this minion takes damage, also deal that amount to your hero.",MINION
